"ano";"categoria";"frequencia";"is_total";"periodo_metodologico";"cnae_subclasse"
2023;"Superior Completo";1265;FALSE;"2022-atual";"2452"
2022;"Total";13310;TRUE;"2022-atual";"2452"
2022;"Analfabeto";44;FALSE;"2022-atual";"2452"
2022;"Até 5ª Incompleto";314;FALSE;"2022-atual";"2452"
2022;"5ª Completo Fundamental";335;FALSE;"2022-atual";"2452"
2022;"6ª a 9ª Fundamental";748;FALSE;"2022-atual";"2452"
2022;"Fundamental Completo";1417;FALSE;"2022-atual";"2452"
2022;"Médio Incompleto";914;FALSE;"2022-atual";"2452"
2022;"Médio Completo";8167;FALSE;"2022-atual";"2452"
2022;"Superior Incompleto";317;FALSE;"2022-atual";"2452"
2022;"Superior Completo";1054;FALSE;"2022-atual";"2452"
