"Competencia";"is_total";"UF";"cnae_subclasse";"Saldo_Movimentacao"
"Mar/2019";FALSE;"50 - Mato Grosso do Sul";"2452";-2
"Mar/2019";FALSE;"51 - Mato Grosso";"2451";0
"Mar/2019";FALSE;"51 - Mato Grosso";"2452";-1
"Mar/2019";FALSE;"52 - Goiás";"2451";2
"Mar/2019";FALSE;"52 - Goiás";"2452";0
"Fev/2019";FALSE;"11 - Rondônia";"2451";-1
"Fev/2019";FALSE;"11 - Rondônia";"2452";2
"Fev/2019";FALSE;"13 - Amazonas";"2451";0
"Fev/2019";FALSE;"13 - Amazonas";"2452";4
"Fev/2019";FALSE;"15 - Para";"2451";1
"Fev/2019";FALSE;"15 - Para";"2452";-1
"Fev/2019";FALSE;"17 - Tocantins";"2451";1
"Fev/2019";FALSE;"17 - Tocantins";"2452";0
"Fev/2019";FALSE;"21 - Maranhão";"2451";0
"Fev/2019";FALSE;"21 - Maranhão";"2452";-2
"Fev/2019";FALSE;"23 - Ceará";"2451";-1
"Fev/2019";FALSE;"23 - Ceará";"2452";-2
"Fev/2019";FALSE;"25 - Paraíba";"2451";0
"Fev/2019";FALSE;"25 - Paraíba";"2452";0
"Fev/2019";FALSE;"26 - Pernambuco";"2451";-6
"Fev/2019";FALSE;"26 - Pernambuco";"2452";0
"Fev/2019";FALSE;"27 - Alagoas";"2451";0
"Fev/2019";FALSE;"27 - Alagoas";"2452";0
"Fev/2019";FALSE;"28 - Sergipe";"2451";0
"Fev/2019";FALSE;"28 - Sergipe";"2452";0
"Fev/2019";FALSE;"29 - Bahia";"2451";1
"Fev/2019";FALSE;"29 - Bahia";"2452";0
"Fev/2019";FALSE;"31 - Minas Gerais";"2451";122
"Fev/2019";FALSE;"31 - Minas Gerais";"2452";26
"Fev/2019";FALSE;"32 - Espírito Santo";"2451";-2
"Fev/2019";FALSE;"32 - Espírito Santo";"2452";1
"Fev/2019";FALSE;"33 - Rio de Janeiro";"2451";0
"Fev/2019";FALSE;"33 - Rio de Janeiro";"2452";3
"Fev/2019";FALSE;"35 - São Paulo";"2451";-20
"Fev/2019";FALSE;"35 - São Paulo";"2452";18
"Fev/2019";FALSE;"41 - Paraná";"2451";7
"Fev/2019";FALSE;"41 - Paraná";"2452";3
"Fev/2019";FALSE;"42 - Santa Catarina";"2451";166
"Fev/2019";FALSE;"42 - Santa Catarina";"2452";16
"Fev/2019";FALSE;"43 - Rio Grande do Sul";"2451";170
"Fev/2019";FALSE;"43 - Rio Grande do Sul";"2452";-3
"Fev/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Fev/2019";FALSE;"50 - Mato Grosso do Sul";"2452";-4
"Fev/2019";FALSE;"51 - Mato Grosso";"2451";1
"Fev/2019";FALSE;"51 - Mato Grosso";"2452";-1
"Fev/2019";FALSE;"52 - Goiás";"2451";0
"Fev/2019";FALSE;"52 - Goiás";"2452";1
"Jan/2019";FALSE;"11 - Rondônia";"2451";0
"Jan/2019";FALSE;"11 - Rondônia";"2452";0
"Jan/2019";FALSE;"13 - Amazonas";"2451";0
"Jan/2019";FALSE;"13 - Amazonas";"2452";-3
"Jan/2019";FALSE;"15 - Para";"2451";0
"Jan/2019";FALSE;"15 - Para";"2452";0
"Jan/2019";FALSE;"21 - Maranhão";"2451";-1
"Jan/2019";FALSE;"21 - Maranhão";"2452";0
"Jan/2019";FALSE;"23 - Ceará";"2451";1
"Jan/2019";FALSE;"23 - Ceará";"2452";0
"Jan/2019";FALSE;"25 - Paraíba";"2451";0
"Jan/2019";FALSE;"25 - Paraíba";"2452";0
"Jan/2019";FALSE;"27 - Alagoas";"2451";-1
"Jan/2019";FALSE;"27 - Alagoas";"2452";0
"Jan/2019";FALSE;"28 - Sergipe";"2451";0
"Jan/2019";FALSE;"28 - Sergipe";"2452";7
"Jan/2019";FALSE;"29 - Bahia";"2451";-4
"Jan/2019";FALSE;"29 - Bahia";"2452";0
"Jan/2019";FALSE;"31 - Minas Gerais";"2451";60
