"Competencia";"is_total";"UF";"cnae_subclasse";"Salario_Mensal"
"Jun/2019";FALSE;"35 - São Paulo";"2451";679868
"Jun/2019";FALSE;"35 - São Paulo";"2452";713102
"Jun/2019";FALSE;"41 - Paraná";"2451";98187
"Jun/2019";FALSE;"41 - Paraná";"2452";188561
"Jun/2019";FALSE;"42 - Santa Catarina";"2451";1063642
"Jun/2019";FALSE;"42 - Santa Catarina";"2452";110382
"Jun/2019";FALSE;"43 - Rio Grande do Sul";"2451";390119
"Jun/2019";FALSE;"43 - Rio Grande do Sul";"2452";35744
"Jun/2019";FALSE;"50 - Mato Grosso do Sul";"2451";2659
"Jun/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Jun/2019";FALSE;"51 - Mato Grosso";"2451";4290
"Jun/2019";FALSE;"51 - Mato Grosso";"2452";2414
"Jun/2019";FALSE;"52 - Goiás";"2451";3453
"Jun/2019";FALSE;"52 - Goiás";"2452";10200
"Mai/2019";FALSE;"11 - Rondônia";"2451";3759
"Mai/2019";FALSE;"11 - Rondônia";"2452";2695
"Mai/2019";FALSE;"13 - Amazonas";"2451";0
"Mai/2019";FALSE;"13 - Amazonas";"2452";33249
"Mai/2019";FALSE;"15 - Para";"2451";3545
"Mai/2019";FALSE;"15 - Para";"2452";0
"Mai/2019";FALSE;"21 - Maranhão";"2451";0
"Mai/2019";FALSE;"21 - Maranhão";"2452";2599
"Mai/2019";FALSE;"23 - Ceará";"2451";8210
"Mai/2019";FALSE;"23 - Ceará";"2452";9175
"Mai/2019";FALSE;"24 - Rio Grande do Norte";"2451";1497
"Mai/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Mai/2019";FALSE;"25 - Paraíba";"2451";3124
"Mai/2019";FALSE;"25 - Paraíba";"2452";0
"Mai/2019";FALSE;"26 - Pernambuco";"2451";7415
"Mai/2019";FALSE;"26 - Pernambuco";"2452";0
"Mai/2019";FALSE;"27 - Alagoas";"2451";6060
"Mai/2019";FALSE;"27 - Alagoas";"2452";0
"Mai/2019";FALSE;"28 - Sergipe";"2451";0
"Mai/2019";FALSE;"28 - Sergipe";"2452";9953
"Mai/2019";FALSE;"29 - Bahia";"2451";4435
"Mai/2019";FALSE;"29 - Bahia";"2452";1097
"Mai/2019";FALSE;"31 - Minas Gerais";"2451";890942
"Mai/2019";FALSE;"31 - Minas Gerais";"2452";247951
"Mai/2019";FALSE;"32 - Espírito Santo";"2451";2176
"Mai/2019";FALSE;"32 - Espírito Santo";"2452";0
"Mai/2019";FALSE;"33 - Rio de Janeiro";"2451";3123
