"ano";"categoria";"frequencia";"vl_remun_dezembro_nom";"is_total";"periodo_metodologico";"cnae_subclasse";"remuneracao_media_nominal"
2017;"29 - Bahia";58;121309,309999999;FALSE;"2006-2021";"2451";2091,53982758619
2017;"31 - Minas Gerais";10116;27917417,1500001;FALSE;"2006-2021";"2451";2759,72886022144
2017;"32 - Espírito Santo";78;152263,630000012;FALSE;"2006-2021";"2451";1952,09782051297
2017;"33 - Rio de Janeiro";429;597561,179999984;FALSE;"2006-2021";"2451";1392,91650349647
2017;"35 - São Paulo";9064;31275255,7099998;FALSE;"2006-2021";"2451";3450,49158318621
2017;"41 - Paraná";1145;3128411,03999992;FALSE;"2006-2021";"2451";2732,23671615714
2017;"42 - Santa Catarina";14246;44535117,8100005;FALSE;"2006-2021";"2451";3126,14894075533
2017;"43 - Rio Grande do Sul";4018;11492375,7500001;FALSE;"2006-2021";"2451";2860,22293429569
2017;"50 - Mato Grosso do Sul";62;115763,410000008;FALSE;"2006-2021";"2451";1867,15177419368
2017;"51 - Mato Grosso";27;40919,620000001;FALSE;"2006-2021";"2451";1515,54148148152
2017;"52 - Goiás";107;244272,02;FALSE;"2006-2021";"2451";2282,91607476635
2017;"53 - Distrito Federal";4;4329,33999999892;FALSE;"2006-2021";"2451";1082,33499999973
2016;"Total";41004;120456592,61;TRUE;"2006-2021";"2451";2937,67907057848
2016;"11 - Rondônia";48;84468,6700000064;FALSE;"2006-2021";"2451";1759,76395833347
2016;"12 - Acre";6;9474,24000000022;FALSE;"2006-2021";"2451";1579,04000000004
2016;"13 - Amazonas";1;440;FALSE;"2006-2021";"2451";440
2016;"15 - Pará";60;93902,9300000016;FALSE;"2006-2021";"2451";1565,04883333336
2016;"17 - Tocantins";4;5355,96000000089;FALSE;"2006-2021";"2451";1338,99000000022
2016;"21 - Maranhão";22;25807,9000000013;FALSE;"2006-2021";"2451";1173,08636363642
2016;"22 - Piauí";37;45137,79;FALSE;"2006-2021";"2451";1219,94027027027
2016;"23 - Ceará";187;328126,020000012;FALSE;"2006-2021";"2451";1754,68459893055
2016;"24 - Rio Grande do Norte";9;10410,5899999999;FALSE;"2006-2021";"2451";1156,73222222221
2016;"25 - Paraíba";14;17492,2599999998;FALSE;"2006-2021";"2451";1249,44714285713
2016;"26 - Pernambuco";360;1042096,55;FALSE;"2006-2021";"2451";2894,71263888889
2016;"27 - Alagoas";81;145059,83;FALSE;"2006-2021";"2451";1790,86209876543
2016;"28 - Sergipe";19;20471,8900000006;FALSE;"2006-2021";"2451";1077,46789473687
2016;"29 - Bahia";68;178641,220000014;FALSE;"2006-2021";"2451";2627,07676470609
2016;"31 - Minas Gerais";10382;28790771,8699999;FALSE;"2006-2021";"2451";2773,14311982276
2016;"32 - Espírito Santo";87;191786,539999992;FALSE;"2006-2021";"2451";2204,44298850566
2016;"33 - Rio de Janeiro";543;778303,650000012;FALSE;"2006-2021";"2451";1433,34005524864
2016;"35 - São Paulo";10754;36879196,2999997;FALSE;"2006-2021";"2451";3429,34687558115
2016;"41 - Paraná";1143;2931665,05999998;FALSE;"2006-2021";"2451";2564,88631671039
2016;"42 - Santa Catarina";13155;38277648,9600005;FALSE;"2006-2021";"2451";2909,74146408214
2016;"43 - Rio Grande do Sul";3679;9916893,69000003;FALSE;"2006-2021";"2451";2695,54055178038
2016;"50 - Mato Grosso do Sul";152;283109,930000001;FALSE;"2006-2021";"2451";1862,56532894737
2016;"51 - Mato Grosso";64;127377,98;FALSE;"2006-2021";"2451";1990,2809375
2016;"52 - Goiás";125;267164,249999999;FALSE;"2006-2021";"2451";2137,31399999999
2016;"53 - Distrito Federal";4;5788,53000000119;FALSE;"2006-2021";"2451";1447,1325000003
2015;"Total";43541;122669355,999999;TRUE;"2006-2021";"2451";2817,32978112581
2015;"11 - Rondônia";48;81485,9099999908;FALSE;"2006-2021";"2451";1697,62312499981
2015;"12 - Acre";5;6836,40000000037;FALSE;"2006-2021";"2451";1367,28000000007
2015;"13 - Amazonas";1;788;FALSE;"2006-2021";"2451";788
2015;"15 - Pará";57;80536,5899999943;FALSE;"2006-2021";"2451";1412,92263157885
2015;"17 - Tocantins";2;1640;FALSE;"2006-2021";"2451";820
2015;"21 - Maranhão";21;22452,459999999;FALSE;"2006-2021";"2451";1069,16476190471
2015;"22 - Piauí";37;32398,0300000003;FALSE;"2006-2021";"2451";875,622432432441
2015;"23 - Ceará";218;291595,329999992;FALSE;"2006-2021";"2451";1337,5932568807
2015;"24 - Rio Grande do Norte";13;11355,3000000007;FALSE;"2006-2021";"2451";873,484615384669
2015;"25 - Paraíba";25;27020,5999999903;FALSE;"2006-2021";"2451";1080,82399999961
2015;"26 - Pernambuco";345;1035131,34999991;FALSE;"2006-2021";"2451";3000,38072463742
2015;"27 - Alagoas";119;186017,500000005;FALSE;"2006-2021";"2451";1563,17226890761
2015;"28 - Sergipe";21;17020,0200000005;FALSE;"2006-2021";"2451";810,477142857167
2015;"29 - Bahia";83;187723,809999995;FALSE;"2006-2021";"2451";2261,73265060235
2015;"31 - Minas Gerais";10064;25046603,5299999;FALSE;"2006-2021";"2451";2488,73246522257
2015;"32 - Espírito Santo";93;162411,030000008;FALSE;"2006-2021";"2451";1746,35516129041
2015;"33 - Rio de Janeiro";757;1333936,68999993;FALSE;"2006-2021";"2451";1762,13565389687
2015;"35 - São Paulo";12965;41426146,1000001;FALSE;"2006-2021";"2451";3195,22916313152
2015;"41 - Paraná";1110;2706678,55000006;FALSE;"2006-2021";"2451";2438,4491441442
2015;"42 - Santa Catarina";13039;38871008,1899997;FALSE;"2006-2021";"2451";2981,13415062503
2015;"43 - Rio Grande do Sul";4133;10428293,9899999;FALSE;"2006-2021";"2451";2523,17783450276
2015;"50 - Mato Grosso do Sul";152;284020,829999981;FALSE;"2006-2021";"2451";1868,55809210514
2015;"51 - Mato Grosso";74;145741,410000002;FALSE;"2006-2021";"2451";1969,47851351354
2015;"52 - Goiás";153;275792,469999997;FALSE;"2006-2021";"2451";1802,56516339867
2015;"53 - Distrito Federal";6;6721,91000000201;FALSE;"2006-2021";"2451";1120,31833333367
2014;"Total";50809;131482658,830001;TRUE;"2006-2021";"2451";2587,78285008563
2014;"11 - Rondônia";49;76804,6899999985;FALSE;"2006-2021";"2451";1567,44265306119
2014;"12 - Acre";8;8132,16999999993;FALSE;"2006-2021";"2451";1016,52124999999
2014;"13 - Amazonas";1;724;FALSE;"2006-2021";"2451";724
2014;"15 - Pará";62;79564,870000002;FALSE;"2006-2021";"2451";1283,30435483874
2014;"17 - Tocantins";2;2192;FALSE;"2006-2021";"2451";1096
2014;"21 - Maranhão";36;36977,2200000016;FALSE;"2006-2021";"2451";1027,14500000004
2014;"22 - Piauí";40;39321,2399999993;FALSE;"2006-2021";"2451";983,030999999982
2014;"23 - Ceará";265;336333,470000003;FALSE;"2006-2021";"2451";1269,18290566039
2014;"24 - Rio Grande do Norte";47;49657,6799999997;FALSE;"2006-2021";"2451";1056,54638297872
2014;"25 - Paraíba";37;33249,0800000047;FALSE;"2006-2021";"2451";898,623783783911
2014;"26 - Pernambuco";362;972765,590000058;FALSE;"2006-2021";"2451";2687,1977624311
2014;"27 - Alagoas";78;111902,680000002;FALSE;"2006-2021";"2451";1434,64974358977
2014;"28 - Sergipe";5;4247,45999999996;FALSE;"2006-2021";"2451";849,491999999992
2014;"29 - Bahia";89;171965,400000006;FALSE;"2006-2021";"2451";1932,19550561804
2014;"31 - Minas Gerais";11644;27168675,1300006;FALSE;"2006-2021";"2451";2333,27680608044
2014;"32 - Espírito Santo";105;162518,209999996;FALSE;"2006-2021";"2451";1547,79247619044
2014;"33 - Rio de Janeiro";1533;2562169,23;FALSE;"2006-2021";"2451";1671,34326810176
2014;"35 - São Paulo";14931;44532503,9200002;FALSE;"2006-2021";"2451";2982,55334003082
2014;"41 - Paraná";1378;3007856,38000001;FALSE;"2006-2021";"2451";2182,76950653121
2014;"42 - Santa Catarina";14451;39260533,0199998;FALSE;"2006-2021";"2451";2716,80389038819
2014;"43 - Rio Grande do Sul";5262;12176926,2100001;FALSE;"2006-2021";"2451";2314,12508741925
2014;"50 - Mato Grosso do Sul";144;235580,360000021;FALSE;"2006-2021";"2451";1635,97472222237
2014;"51 - Mato Grosso";101;163423,430000014;FALSE;"2006-2021";"2451";1618,05376237638
2014;"52 - Goiás";171;280284,419999996;FALSE;"2006-2021";"2451";1639,09017543857
2014;"53 - Distrito Federal";8;8350,97000000067;FALSE;"2006-2021";"2451";1043,87125000008
2013;"Total";54844;134419092,52;TRUE;"2006-2021";"2451";2450,9352439647
2013;"11 - Rondônia";66;94853,7500000037;FALSE;"2006-2021";"2451";1437,17803030309
2013;"12 - Acre";5;4898,1799999997;FALSE;"2006-2021";"2451";979,63599999994
2013;"13 - Amazonas";10;7775,12999999989;FALSE;"2006-2021";"2451";777,512999999989
2013;"14 - Roraima";5;5252,79000000097;FALSE;"2006-2021";"2451";1050,55800000019
2013;"15 - Pará";53;65368,5500000007;FALSE;"2006-2021";"2451";1233,36886792454
2013;"17 - Tocantins";2;2034;FALSE;"2006-2021";"2451";1017
2013;"21 - Maranhão";30;26213,9400000004;FALSE;"2006-2021";"2451";873,798000000013
2013;"22 - Piauí";45;39767,5299999965;FALSE;"2006-2021";"2451";883,722888888811
2013;"23 - Ceará";233;310479,879999995;FALSE;"2006-2021";"2451";1332,53167381972
2013;"24 - Rio Grande do Norte";41;37731,9900000021;FALSE;"2006-2021";"2451";920,292439024441
2013;"25 - Paraíba";40;36718,839999998;FALSE;"2006-2021";"2451";917,97099999995
2013;"26 - Pernambuco";281;646361,040000015;FALSE;"2006-2021";"2451";2300,21722419934
2013;"27 - Alagoas";104;146002,519999997;FALSE;"2006-2021";"2451";1403,87038461536
