"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Dez/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";190
"Dez/2018";FALSE;"Desligamento por demissão com justa causa";"2451";26
"Dez/2018";FALSE;"Desligamento por demissão com justa causa";"2452";0
"Dez/2018";FALSE;"Desligamento a pedido";"2451";171
"Dez/2018";FALSE;"Desligamento a pedido";"2452";48
"Dez/2018";FALSE;"Desligamento por morte";"2451";8
"Dez/2018";FALSE;"Desligamento por morte";"2452";0
"Dez/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";11
"Dez/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Nov/2018";FALSE;"Admissão por primeiro emprego";"2451";209
"Nov/2018";FALSE;"Admissão por primeiro emprego";"2452";8
"Nov/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";542
"Nov/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";258
"Nov/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";472
"Nov/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";226
"Nov/2018";FALSE;"Desligamento por demissão com justa causa";"2451";37
"Nov/2018";FALSE;"Desligamento por demissão com justa causa";"2452";1
"Nov/2018";FALSE;"Desligamento a pedido";"2451";206
"Nov/2018";FALSE;"Desligamento a pedido";"2452";40
"Nov/2018";FALSE;"Desligamento por morte";"2451";10
"Nov/2018";FALSE;"Desligamento por morte";"2452";1
"Nov/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";11
"Nov/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";2
"Out/2018";FALSE;"Admissão por primeiro emprego";"2451";268
"Out/2018";FALSE;"Admissão por primeiro emprego";"2452";18
"Out/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";702
"Out/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";260
"Out/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";543
"Out/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";225
"Out/2018";FALSE;"Desligamento por demissão com justa causa";"2451";19
"Out/2018";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Out/2018";FALSE;"Desligamento a pedido";"2451";209
"Out/2018";FALSE;"Desligamento a pedido";"2452";54
"Out/2018";FALSE;"Desligamento por aposentadoria";"2451";1
"Out/2018";FALSE;"Desligamento por aposentadoria";"2452";0
